rango_etario,victima_genero,agresor_genero,agresor_relacion_victima,violencia_tipo
18-29,FEMENINO,,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
0-17,MASCULINO,,FAMILIAR INDIRECTO,PSICOLÓGICA
0-17,FEMENINO,,PAREJA/EX PAREJA,"ECONÓMICA, FÍSICA, PSICOLÓGICA"
30-44,FEMENINO,,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
18-29,MASCULINO,,FAMILIAR DIRECTO,PSICOLÓGICA
0-17,FEMENINO,,FAMILIAR DIRECTO,PSICOLÓGICA
0-17,FEMENINO,,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
45-59,FEMENINO,,PAREJA/EX PAREJA,"ECONÓMICA, FÍSICA, PSICOLÓGICA, SEXUAL"
0-17,FEMENINO,,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
60+,FEMENINO,,OTRO CONVIVIENTE,"ECONÓMICA, FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,FAMILIAR DIRECTO,PSICOLÓGICA
0-17,FEMENINO,,FAMILIAR DIRECTO,PSICOLÓGICA
0-17,FEMENINO,,FAMILIAR INDIRECTO,PSICOLÓGICA
30-44,FEMENINO,,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
30-44,FEMENINO,,OTRO NO CONVIVIENTE,"FÍSICA, PSICOLÓGICA"
30-44,FEMENINO,,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,FAMILIAR DIRECTO,PSICOLÓGICA
30-44,FEMENINO,,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
18-29,FEMENINO,,PAREJA/EX PAREJA,"ECONÓMICA, FÍSICA, PSICOLÓGICA"
0-17,FEMENINO,,FAMILIAR DIRECTO,PSICOLÓGICA
60+,FEMENINO,,PAREJA/EX PAREJA,SEXUAL
0-17,MASCULINO,,FAMILIAR INDIRECTO,FÍSICA
