rango_etario,victima_genero,agresor_genero,agresor_relacion_victima,violencia_tipo
18-29,FEMENINO,FEMENINO,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
0-17,Sin Dato,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,PSICOLÓGICA
0-17,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,FEMENINO,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
,Sin Dato,Sin dato,SIN DATO,NO APLICA
,Sin Dato,Sin dato,SIN DATO,NO APLICA
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,Sin Dato,Sin dato,SIN DATO,NO APLICA
,Sin Dato,Sin dato,SIN DATO,NO APLICA
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,PSICOLÓGICA
18-29,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,MASCULINO,FEMENINO,FAMILIAR DIRECTO,PSICOLÓGICA
30-44,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
18-29,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
45-59,FEMENINO,MASCULINO,FAMILIAR DIRECTO,"FÍSICA, PSICOLÓGICA"
30-44,FEMENINO,MASCULINO,PAREJA/EX PAREJA,PSICOLÓGICA
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,PSICOLÓGICA
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
30-44,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
45-59,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
18-29,FEMENINO,MASCULINO,PAREJA/EX PAREJA,"FÍSICA, PSICOLÓGICA"
